stk_cd,t1_dt,t1_open,entry,tp,sl,result,entry_tm,tp_tm,sl_tm,rows,data_quality
002230,20251210,5900.0,5723.0,6123.610000000001,5494.08,SL_ONLY,20251210090200,,20251210091400,380,OK
002420,20251128,6600.0,6402.0,6850.14,6145.92,SL_ONLY,20251128093100,,20251128101000,370,OK
002630,20250402,2180.0,2114.6,2262.622,2030.0159999999998,SL_FIRST,20250402090100,20250402134200,20250402090200,380,OK
002630,20250508,1860.0,1804.2,1930.4940000000001,1732.032,TP_ONLY,20250508090000,20250508090700,,382,OK
002785,20250430,4300.0,4171.0,4462.97,4004.16,SL_ONLY,20250430093000,,20250430093000,15,LOW_ROWS
002785,20250522,3615.0,3506.5499999999997,3752.0085,3366.2879999999996,NONE_AFTER_ENTRY,20250522153000,,,15,LOW_ROWS
002995,20250430,17900.0,17363.0,18578.41,16668.48,NO_ENTRY,,,,13,LOW_ROWS
002995,20250502,18660.0,18100.2,19367.214000000004,17376.192,SL_ONLY,20250502093000,,20250502093000,15,LOW_ROWS
002995,20251208,14090.0,13667.3,14624.011,13120.607999999998,NO_ENTRY,,,,15,LOW_ROWS
002995,20251211,15350.0,14889.5,15931.765000000001,14293.92,NO_ENTRY,,,,15,LOW_ROWS
002995,20251212,22000.0,21340.0,22833.800000000003,20486.399999999998,SL_ONLY,20251212113000,,20251212113000,15,LOW_ROWS
002995,20251216,25100.0,24347.0,26051.29,23373.12,NO_ENTRY,,,,14,LOW_ROWS
002995,20251217,35900.0,34823.0,37260.61,33430.08,NO_ENTRY,,,,15,LOW_ROWS
002995,20251218,40200.0,38994.0,41723.58,37434.24,NO_ENTRY,,,,15,LOW_ROWS
003090,20250530,25350.0,24589.5,26310.765000000003,23605.92,TP_ONLY,20250530090600,20250530094900,,381,OK
003280,20250616,2380.0,2308.6,2470.202,2216.256,SL_ONLY,20250616090000,,20250616091000,381,OK
