code,name,lastPrice,marketCode,marketName,mrkt_tp
449680,TIGER 한중전기차(합성),00013995,8,ETF,0
449690,TIGER 한중반도체(합성),00039020,8,ETF,0
449770,KIWOOM 미국S&P500,00019680,8,ETF,0
449780,KIWOOM 미국S&P500(H),00017080,8,ETF,0
450080,에코프로머티,00070200,0,거래소,0
450180,KODEX 한중전기차(합성),00014405,8,ETF,0
450190,KODEX 한중반도체(합성),00039500,8,ETF,0
450910,SOL 코스닥150,00020610,8,ETF,0
451000,PLUS 종합채권(AA-이상)액티브,00111365,8,ETF,0
451060,1Q 200액티브,00030760,8,ETF,0
451150,에셋플러스 글로벌영에이지액티브,00018775,8,ETF,0
451530,TIGER 국고채30년스트립액티브,00048905,8,ETF,0
451540,TIGER 종합채권(AA-이상)액티브,00054885,8,ETF,0
451600,PLUS 국고채30년액티브,00099875,8,ETF,0
451670,RISE 국채30년레버리지(합성),00018705,8,ETF,0
451800,한화리츠,00005150,6,리츠,0
452250,ACE 미국30년국채선물레버리지(합성 H),00005615,8,ETF,0
452260,한화갤러리아,00003155,0,거래소,0
45226K,한화갤러리아우,00010240,0,거래소,0
452360,SOL 미국배당다우존스(H),00012420,8,ETF,0
452440,VITA 밸류알파액티브,00019615,8,ETF,0
453010,PLUS KOFR금리,00108450,8,ETF,0
453060,HANARO KOFR금리액티브(합성),00109910,8,ETF,0
453080,KIWOOM 미국나스닥100(H),00019900,8,ETF,0
453330,RISE 미국S&P500(H),00016480,8,ETF,0
453340,현대그린푸드,00016270,0,거래소,0
453630,KODEX 미국S&P500필수소비재,00013350,8,ETF,0
453640,KODEX 미국S&P500헬스케어,00013585,8,ETF,0
453650,KODEX 미국S&P500금융,00018120,8,ETF,0
453660,KODEX 미국S&P500경기소비재,00017860,8,ETF,0
453810,KODEX 인도Nifty50,00013525,8,ETF,0
453820,KODEX 인도Nifty50레버리지(합성),00015570,8,ETF,0
453850,ACE 미국30년국채액티브(H),00007795,8,ETF,0
453870,TIGER 인도니프티50,00013320,8,ETF,0
453950,TIGER TSMC파운드리밸류체인,00029010,8,ETF,0
454180,KIWOOM 차이나내수소비TOP CSI,00009030,8,ETF,0
454320,HANARO CAPEX설비투자iSelect,00046045,8,ETF,0
454780,KIWOOM 종합채권(AA-이상)액티브,00103565,8,ETF,0
454910,두산로보틱스,00110400,0,거래소,0
455030,KODEX 미국달러SOFR금리액티브(합성),00012230,8,ETF,0
455660,ACE 미국하이일드액티브(H),00009730,8,ETF,0
455850,SOL AI반도체소부장,00025740,8,ETF,0
455860,SOL 2차전지소부장Fn,00007040,8,ETF,0
455890,RISE 머니마켓액티브,00054590,8,ETF,0
455960,RISE 미국달러SOFR금리액티브(합성),00012220,8,ETF,0
456040,OCI,00088900,0,거래소,0
456200,PLUS 미국달러SOFR금리액티브(합성),00060710,8,ETF,0
456250,KODEX 유럽명품TOP10 STOXX,00010370,8,ETF,0
