gap_bin,"[0.0, 0.01)","[0.01, 0.02)","[0.02, 0.03)"
"[-0.5, 0.0)",0.7,0.6666666666666666,0.75
"[0.0, 0.03)",0.6666666666666666,,
"[0.03, 0.07)",,0.0,
"[0.07, 0.1)",0.5,,
"[0.1, 0.15)",,1.0,
"[0.2, 0.25)",0.0,,
"[0.25, 0.8)",0.6666666666666666,0.5,
nan,0.5245901639344263,0.5384615384615384,0.7021276595744681
