gap_bin,entry_k,tp,sl,entered_trades,tp_cnt,sl_cnt,winrate,EV,ambig_same_min,none_after_entry,no_entry,no_minute_skipped
<0,0.96,0.07,0.04,67,17,41,0.2537313432835821,-0.00883733780439025,0,9,11,14
<0,0.96,0.07,0.05,67,21,31,0.31343283582089554,-0.006221079554361385,0,15,11,14
<0,0.96,0.07,0.06,67,26,21,0.3880597014925373,0.001923372168128513,0,20,11,14
<0,0.96,0.08,0.03,67,6,58,0.08955223880597014,-0.019119455070947606,1,2,11,14
<0,0.96,0.08,0.04,67,16,42,0.23880597014925373,-0.008091069147673833,0,9,11,14
<0,0.96,0.08,0.05,67,20,32,0.29850746268656714,-0.005027049703615118,0,15,11,14
<0,0.96,0.08,0.06,67,25,21,0.373134328358209,0.0037955588537480324,0,21,11,14
<0,0.96,0.09,0.03,67,4,61,0.05970149253731343,-0.02225378342915656,0,2,11,14
<0,0.96,0.09,0.04,67,13,45,0.19402985074626866,-0.011523904968569356,0,9,11,14
<0,0.96,0.09,0.05,67,18,33,0.26865671641791045,-0.00558007522190341,0,16,11,14
<0,0.96,0.09,0.06,67,23,22,0.34328358208955223,0.0038395482608328747,0,22,11,14
<0,0.96,0.1,0.03,67,3,62,0.04477611940298507,-0.02359706701124611,0,2,11,14
<0,0.96,0.1,0.04,67,11,46,0.16417910447761194,-0.013088368116925646,0,10,11,14
<0,0.96,0.1,0.05,67,15,35,0.22388059701492538,-0.008786329415035819,0,17,11,14
<0,0.96,0.1,0.06,67,20,23,0.29850746268656714,0.0011703270655504675,0,24,11,14
<0,0.97,0.05,0.03,69,22,42,0.3188405797101449,-0.001885935139472741,2,3,9,14
<0,0.97,0.05,0.04,69,22,42,0.3188405797101449,-0.007972891661211873,2,3,9,14
<0,0.97,0.05,0.05,69,30,30,0.43478260869565216,-0.0014242200921358538,1,8,9,14
<0,0.97,0.05,0.06,69,35,23,0.5072463768115942,0.0023000049837619443,0,11,9,14
<0,0.97,0.06,0.03,69,18,47,0.2608695652173913,-0.004349703255414772,1,3,9,14
<0,0.97,0.06,0.04,69,18,46,0.2608695652173913,-0.011096290203704992,1,4,9,14
<0,0.97,0.06,0.05,69,27,33,0.391304347826087,-0.0023737055911507133,0,9,9,14
<0,0.97,0.06,0.06,69,31,25,0.4492753623188406,0.0007732018826309264,0,13,9,14
<0,0.97,0.07,0.03,69,16,49,0.2318840579710145,-0.004639558327878538,1,3,9,14
