gap_bin,"[0.0, 0.01)","[0.01, 0.02)","[0.02, 0.03)"
"[-0.5, 0.0)",0.02541666666666667,0.02428571428571429,0.027000000000000003
"[0.0, 0.03)",0.028333333333333335,,
"[0.03, 0.07)",,0.0,
"[0.07, 0.1)",0.0175,,
"[0.1, 0.15)",,0.05,
"[0.2, 0.25)",-0.015,,
"[0.25, 0.8)",0.02125,0.014000000000000002,
nan,0.017923076923076924,0.018571428571428572,0.030638297872340427
