gap_bin,entry_k,tp,sl,entered_trades,tp_cnt,sl_cnt,winrate,EV,ambig_same_min,none_after_entry,no_entry,no_minute_skipped
0~3,0.94,0.1,0.05,43,24,13,0.5581395348837209,0.039482073220706945,0,6,9,13
10~15,0.94,0.06,0.06,60,42,10,0.7,0.029366614933573155,1,7,3,15
15~20,0.94,0.06,0.05,38,23,10,0.6052631578947368,0.02200473874743973,0,5,3,14
20~25,0.94,0.09,0.05,16,13,3,0.8125,0.06375,0,0,5,5
25+,0.94,0.06,0.05,10,7,3,0.7,0.026999999999999996,0,0,11,3
3~7,0.95,0.06,0.06,74,37,24,0.5,0.0066063970529273075,0,13,10,20
7~10,0.97,0.07,0.06,77,41,33,0.5324675324675324,0.01142044314195412,2,1,11,28
<0,0.94,0.1,0.06,66,23,15,0.3484848484848485,0.01722902476774754,0,28,12,14
