stk_cd,t1_dt,tried
003070,20240621,003070|003070_NX|003070_AL
003075,20230406,003075|003075_NX|003075_AL
003075,20230904,003075|003075_NX|003075_AL
003075,20231204,003075|003075_NX|003075_AL
003075,20240613,003075|003075_NX|003075_AL
003075,20240614,003075|003075_NX|003075_AL
003075,20240617,003075|003075_NX|003075_AL
003075,20240621,003075|003075_NX|003075_AL
003075,20240827,003075|003075_NX|003075_AL
003075,20240828,003075|003075_NX|003075_AL
003075,20241220,003075|003075_NX|003075_AL
003120,20230303,003120|003120_NX|003120_AL
003230,20230816,003230|003230_NX|003230_AL
003230,20240520,003230|003230_NX|003230_AL
003280,20230621,003280|003280_NX|003280_AL
003280,20231019,003280|003280_NX|003280_AL
003280,20231123,003280|003280_NX|003280_AL
003280,20240105,003280|003280_NX|003280_AL
003280,20240115,003280|003280_NX|003280_AL
003350,20230811,003350|003350_NX|003350_AL
003350,20240517,003350|003350_NX|003350_AL
003530,20240112,003530|003530_NX|003530_AL
003535,20231205,003535|003535_NX|003535_AL
003535,20231206,003535|003535_NX|003535_AL
003535,20231207,003535|003535_NX|003535_AL
003535,20240112,003535|003535_NX|003535_AL
003670,20231107,003670|003670_NX|003670_AL
003720,20230508,003720|003720_NX|003720_AL
003960,20240617,003960|003960_NX|003960_AL
003960,20240709,003960|003960_NX|003960_AL
004060,20231130,004060|004060_NX|004060_AL
004090,20231011,004090|004090_NX|004090_AL
004090,20231031,004090|004090_NX|004090_AL
004090,20240604,004090|004090_NX|004090_AL
004090,20240605,004090|004090_NX|004090_AL
004090,20250204,004090|004090_NX|004090_AL
004100,20231201,004100|004100_NX|004100_AL
004100,20240711,004100|004100_NX|004100_AL
004100,20241205,004100|004100_NX|004100_AL
004105,20230118,004105|004105_NX|004105_AL
004105,20230213,004105|004105_NX|004105_AL
004105,20230828,004105|004105_NX|004105_AL
004105,20231201,004105|004105_NX|004105_AL
004105,20231204,004105|004105_NX|004105_AL
004105,20231205,004105|004105_NX|004105_AL
004105,20240711,004105|004105_NX|004105_AL
004105,20241205,004105|004105_NX|004105_AL
004140,20240116,004140|004140_NX|004140_AL
004270,20230626,004270|004270_NX|004270_AL
004270,20230927,004270|004270_NX|004270_AL
004310,20240724,004310|004310_NX|004310_AL
004440,20250207,004440|004440_NX|004440_AL
004440,20250214,004440|004440_NX|004440_AL
004540,20231127,004540|004540_NX|004540_AL
004540,20240621,004540|004540_NX|004540_AL
004540,20241202,004540|004540_NX|004540_AL
004540,20241212,004540|004540_NX|004540_AL
004545,20231127,004545|004545_NX|004545_AL
004545,20231201,004545|004545_NX|004545_AL
004545,20240119,004545|004545_NX|004545_AL
004545,20240621,004545|004545_NX|004545_AL
004545,20241202,004545|004545_NX|004545_AL
004560,20230407,004560|004560_NX|004560_AL
004560,20231030,004560|004560_NX|004560_AL
004560,20240103,004560|004560_NX|004560_AL
004770,20241210,004770|004770_NX|004770_AL
004830,20230802,004830|004830_NX|004830_AL
004830,20230803,004830|004830_NX|004830_AL
004830,20230804,004830|004830_NX|004830_AL
004830,20230816,004830|004830_NX|004830_AL
004830,20231123,004830|004830_NX|004830_AL
004830,20240215,004830|004830_NX|004830_AL
004830,20240216,004830|004830_NX|004830_AL
004835,20230803,004835|004835_NX|004835_AL
004835,20230804,004835|004835_NX|004835_AL
004835,20230816,004835|004835_NX|004835_AL
004835,20230817,004835|004835_NX|004835_AL
004835,20231123,004835|004835_NX|004835_AL
004835,20231124,004835|004835_NX|004835_AL
004835,20231127,004835|004835_NX|004835_AL
004835,20231128,004835|004835_NX|004835_AL
004835,20231201,004835|004835_NX|004835_AL
004835,20240102,004835|004835_NX|004835_AL
004835,20240417,004835|004835_NX|004835_AL
004835,20240827,004835|004835_NX|004835_AL
004835,20241205,004835|004835_NX|004835_AL
004840,20240228,004840|004840_NX|004840_AL
004870,20241011,004870|004870_NX|004870_AL
004870,20250122,004870|004870_NX|004870_AL
004920,20231116,004920|004920_NX|004920_AL
004985,20230406,004985|004985_NX|004985_AL
005110,20231211,005110|005110_NX|005110_AL
005257,20231206,005257|005257_NX|005257_AL
005320,20231215,005320|005320_NX|005320_AL
005420,20230217,005420|005420_NX|005420_AL
005420,20230404,005420|005420_NX|005420_AL
005690,20240819,005690|005690_NX|005690_AL
005740,20240611,005740|005740_NX|005740_AL
005800,20250109,005800|005800_NX|005800_AL
005950,20230307,005950|005950_NX|005950_AL
005950,20230601,005950|005950_NX|005950_AL
005965,20230105,005965|005965_NX|005965_AL
005965,20241203,005965|005965_NX|005965_AL
006050,20240812,006050|006050_NX|006050_AL
006090,20240617,006090|006090_NX|006090_AL
006110,20230316,006110|006110_NX|006110_AL
006200,20230612,006200|006200_NX|006200_AL
006220,20231020,006220|006220_NX|006220_AL
006220,20240201,006220|006220_NX|006220_AL
006220,20240220,006220|006220_NX|006220_AL
006260,20230726,006260|006260_NX|006260_AL
006340,20240408,006340|006340_NX|006340_AL
006340,20240429,006340|006340_NX|006340_AL
006340,20240508,006340|006340_NX|006340_AL
006345,20240415,006345|006345_NX|006345_AL
006345,20240416,006345|006345_NX|006345_AL
006345,20240429,006345|006345_NX|006345_AL
006345,20240614,006345|006345_NX|006345_AL
006345,20241217,006345|006345_NX|006345_AL
006345,20241219,006345|006345_NX|006345_AL
006345,20250114,006345|006345_NX|006345_AL
006380,20230807,006380|006380_NX|006380_AL
006380,20230808,006380|006380_NX|006380_AL
006380,20230809,006380|006380_NX|006380_AL
006380,20231103,006380|006380_NX|006380_AL
006490,20241007,006490|006490_NX|006490_AL
006490,20241219,006490|006490_NX|006490_AL
006660,20240619,006660|006660_NX|006660_AL
006660,20250109,006660|006660_NX|006660_AL
006660,20250225,006660|006660_NX|006660_AL
006740,20230420,006740|006740_NX|006740_AL
006805,20241115,006805|006805_NX|006805_AL
006880,20230615,006880|006880_NX|006880_AL
006910,20240913,006910|006910_NX|006910_AL
006920,20230619,006920|006920_NX|006920_AL
006920,20240227,006920|006920_NX|006920_AL
007110,20241216,007110|007110_NX|007110_AL
007120,20230131,007120|007120_NX|007120_AL
007120,20230201,007120|007120_NX|007120_AL
007120,20230516,007120|007120_NX|007120_AL
007120,20240823,007120|007120_NX|007120_AL
007160,20240617,007160|007160_NX|007160_AL
007370,20240820,007370|007370_NX|007370_AL
007390,20241105,007390|007390_NX|007390_AL
007460,20230724,007460|007460_NX|007460_AL
007460,20230810,007460|007460_NX|007460_AL
007460,20230811,007460|007460_NX|007460_AL
007460,20240320,007460|007460_NX|007460_AL
007540,20230615,007540|007540_NX|007540_AL
007700,20240202,007700|007700_NX|007700_AL
007720,20240805,007720|007720_NX|007720_AL
007720,20241011,007720|007720_NX|007720_AL
007770,20230414,007770|007770_NX|007770_AL
007770,20230504,007770|007770_NX|007770_AL
007770,20230706,007770|007770_NX|007770_AL
007815,20231214,007815|007815_NX|007815_AL
007980,20231117,007980|007980_NX|007980_AL
008110,20240416,008110|008110_NX|008110_AL
008110,20240417,008110|008110_NX|008110_AL
008250,20250114,008250|008250_NX|008250_AL
008290,20250124,008290|008290_NX|008290_AL
008290,20250226,008290|008290_NX|008290_AL
008355,20231201,008355|008355_NX|008355_AL
008355,20231211,008355|008355_NX|008355_AL
008355,20231212,008355|008355_NX|008355_AL
008355,20231215,008355|008355_NX|008355_AL
008355,20241223,008355|008355_NX|008355_AL
008500,20230321,008500|008500_NX|008500_AL
008500,20240411,008500|008500_NX|008500_AL
008600,20231109,008600|008600_NX|008600_AL
008600,20241212,008600|008600_NX|008600_AL
008830,20230908,008830|008830_NX|008830_AL
008830,20230918,008830|008830_NX|008830_AL
008830,20231222,008830|008830_NX|008830_AL
008830,20240325,008830|008830_NX|008830_AL
008830,20241122,008830|008830_NX|008830_AL
008930,20240117,008930|008930_NX|008930_AL
008970,20240604,008970|008970_NX|008970_AL
008970,20240605,008970|008970_NX|008970_AL
008970,20240607,008970|008970_NX|008970_AL
009070,20240729,009070|009070_NX|009070_AL
009140,20240115,009140|009140_NX|009140_AL
009140,20240524,009140|009140_NX|009140_AL
009190,20231102,009190|009190_NX|009190_AL
009310,20231024,009310|009310_NX|009310_AL
009310,20240213,009310|009310_NX|009310_AL
009310,20240214,009310|009310_NX|009310_AL
009310,20240215,009310|009310_NX|009310_AL
009310,20240216,009310|009310_NX|009310_AL
009310,20240603,009310|009310_NX|009310_AL
009320,20230427,009320|009320_NX|009320_AL
009415,20230512,009415|009415_NX|009415_AL
009415,20230525,009415|009415_NX|009415_AL
009415,20230920,009415|009415_NX|009415_AL
009415,20240103,009415|009415_NX|009415_AL
009415,20240104,009415|009415_NX|009415_AL
009415,20240105,009415|009415_NX|009415_AL
009415,20240110,009415|009415_NX|009415_AL
009415,20240130,009415|009415_NX|009415_AL
009415,20240131,009415|009415_NX|009415_AL
009420,20231004,009420|009420_NX|009420_AL
009440,20230526,009440|009440_NX|009440_AL
009440,20231115,009440|009440_NX|009440_AL
009440,20240909,009440|009440_NX|009440_AL
009470,20230503,009470|009470_NX|009470_AL
009470,20230504,009470|009470_NX|009470_AL
009470,20230519,009470|009470_NX|009470_AL
009520,20230307,009520|009520_NX|009520_AL
009520,20230328,009520|009520_NX|009520_AL
009520,20231228,009520|009520_NX|009520_AL
009620,20241211,009620|009620_NX|009620_AL
009620,20241217,009620|009620_NX|009620_AL
009730,20230321,009730|009730_NX|009730_AL
009730,20240820,009730|009730_NX|009730_AL
009730,20240821,009730|009730_NX|009730_AL
009730,20241025,009730|009730_NX|009730_AL
009780,20241011,009780|009780_NX|009780_AL
010100,20250131,010100|010100_NX|010100_AL
010130,20241025,010130|010130_NX|010130_AL
010170,20250205,010170|010170_NX|010170_AL
010400,20230106,010400|010400_NX|010400_AL
010580,20230418,010580|010580_NX|010580_AL
010580,20230419,010580|010580_NX|010580_AL
010640,20230417,010640|010640_NX|010640_AL
